sents,NER_tag,intent
i have problems with platelets i need a surgery remove spleen the spleen?,O O B-disease I-disease I-disease O O O B-treatment I-treatment I-treatment O O,treatment
can depo-medrol treat poison ivy,O B-drug O B-disease I-disease,drug
does losing weight help your penis grow?,O B-disease I-disease O O O O,other
what are some tips for getting pregnant faster?,O O O O O O B-disease O,other
will lamisil tablets clear up eczema,O B-drug I-drug O O B-disease,drug
does l-lysine help with genital herpes?,O B-drug O O B-disease I-disease,drug
how soon after eating something sweet does it affect your blood sugar level?,O O O O O O O O O O B-treatment I-treatment O,other
how can i get rid of dark acne scars?,O O O O O O O B-disease I-disease,disease
is there any over the counter medication for hives?,O O O O O O O O B-disease,disease
can you take a stool softner if you have diverticulitis?,O O O O B-drug I-drug O O O B-disease,disease
can you get thrush from oral sex with someone with jock itch,O O O B-disease O O O O O O B-disease I-disease,disease
what is a pelvic ultrasound?,O O O B-treatment I-treatment,treatment
does valtrex diminish the effectiveness of the flu vaccines?,O B-drug O O O O O B-drug I-drug,drug
im pregnant but i had sex yesterday and he came in me is that bad,O B-disease O O O O O O O O O O O O O,other
what is trench foot,O O B-disease I-disease,disease
can a pinched nerve in the neck cause numb fingers?,O O O O O O O O B-disease I-disease,disease
can laser hair removal treatments on neck hurt vocal chords?,O B-treatment I-treatment I-treatment O O O O O O,treatment
what part does diet play in seborrheic dermatitis,O O O O O O B-disease I-disease,disease
can you take dulcolax and levothyroxine,O O O B-drug O B-drug,drug
how can i manage swelling in my feet and legs during pregnency?,O O O O B-disease O O O O O O B-disease,treatment
can you get pregnant by giving head,O O O B-disease O O O,other
can having trichomoniasis cause boils?,O O B-disease O B-disease,disease
can veggies make a person irritable?,O O O O O B-disease,other
are children required to get a chickenpox vaccination?,O O O O O O B-drug I-drug,drug
what is a female condom?,O O O B-drug I-drug,drug
what is gonadotropin releasing hormone (gn-rh) for infertility?,O O B-drug I-drug I-drug O B-drug I-disease,drug
having heart valve replacement surgery concerned about risk factors and other treatment options?,O B-treatment I-treatment I-treatment I-treatment O O O O O O O O,treatment
what is the difference between gastroenteritis and gastritis,O O O O O B-disease O B-disease,disease
dental care and vision care part of the health insurance provided by the exchanges?,B-treatment I-treatment O O O O O O O O O O O O,other
what is the difference between hydrocodone-acetaminophen and acetaminophen-cod#3,O O O O O B-drug O B-drug,drug
could i be pregnant? please help!,O O O B-disease O O,other
is pregnency possible after 6 years of not being able to conceive,O B-disease O O O O O O O O O O,other
can using tampons spread herpes inside uterus,O O B-drug O B-disease O O,disease
should you take an antibiotic for a positive clue cell exam,O O O O B-drug O O O B-treatment I-treatment I-treatment,treatment
is diabetes hereditary,O B-disease O,disease
i am 3 1/2 weeks pregnant what should my hcg level be?,O O O O O B-disease O O O B-treatment I-treatment O,other
can a yeast infection go away on its own?,O O B-disease I-disease O O O O O,disease
can cocoa butter on skin raise cholesterol,O O O O O O B-disease,disease
can taking antibiotics for a long period of time cause an elevated a1c result?,O O B-drug O O O O O O O O O B-treatment O,drug
can buspar cause false positives for marijuana?,O B-drug O O O O O,drug
i am facing a laparoscopic mastectomy can this surgery be done without taking lapron?,O O O O B-treatment I-treatment O O B-treatment O O O O B-drug,treatment
can you get dental implants if you grind your teeth?,O O O B-treatment I-treatment O O O O O,treatment
will surgery put me at risk for pneumonia?,O B-treatment O O O O O B-disease,treatment
can i take ibuprofen while taking amoxicillin?,O O O B-drug O O B-drug,drug
what is the procedure to obtain medicare coverage for the shingles vaccines?,O O O O O O O O O O B-drug I-drug,other
what is the procedure to obtain medicare coverage for the herpes vaccines?,O O O O O O O O O O B-drug I-drug,other
can long hair cause migraines,O O O O B-disease,disease
can dry eye be mistaken for glaucoma,O B-disease I-disease O O O B-disease,disease
can a dermatologist help me with birthmarks?,O O O O O O B-disease,other
will azithromycin help with urinary tract infection,O B-drug O O B-disease I-disease I-disease,disease
is there an interaction between soma and adderall xr?,O O O O O B-drug O B-drug I-drug,drug
what type of lotion can i use to decrease my facial wrinkles?,O O O B-drug O O O O O O O B-disease,drug
will graves' disease read a false positive on drug test?,O B-disease I-disease O O O O O B-treatment I-treatment,disease
is it safe to have a small volume enema (2-3 ounces of tap water) daily?,O O O O O O O O B-drug O O O O O O,drug
can colace cause a vaginal yeast infection,O B-drug O O B-disease I-disease I-disease,drug
what are the risks or side effects of taking diltizame and the octreotide injections simutaneosly,O O O O O O O O O B-drug O O B-drug O O,drug
what is a mammogram?,O O O B-treatment,treatment
can cialis treat retrograde ejaculation,O B-drug O B-disease I-disease,drug
does tamiflu contain guaifenesin or a similar ingredient?,O B-drug O B-drug O O O O,drug
what can i do to take off the wrinkles on my feet?,O O O O O O O O B-disease O O O,treatment
i have been taking synthroid for at least 10 years now want to get pregnant?,O O O O B-drug O O O O O O O O O B-disease,drug
will anti-perspirant perspirant cause breast cancer?,O B-drug O O B-disease I-disease,disease
i had an acute ebv antibody test done and my results were all negative,O O O O B-treatment I-treatment I-treatment O O O O O O O,treatment
can you get a tattoo when you taking antibiotics,O O O O O O O O B-drug,other
can a cystic fibrosis child have a normal sweat chloride level?,O O B-disease I-disease O O O O O B-treatment I-treatment,disease
what effects does exercise have on the immune system?,O O O B-treatment O O O B-disease I-disease,treatment
will cipro help with sinus infection and respitory,O B-drug O O B-disease I-disease O O,disease
can i have flu shots when i have asthma?,O O O B-drug I-drug O O O B-disease,drug
does phillips laxative contain aspirin?,O B-drug I-drug O B-drug,drug
is lidoderm patch consider a narcotic? will it show up on drug test?,O B-drug I-drug O O O O O O O O B-treatment I-treatment,drug
i have debilitating shoulder pain acupuncture physio and doctors may have caused permanent damage?,O O O B-disease I-disease I-treatment I-treatment O O O O O O O,disease
will flexeril show up on a urine drug test?,O B-drug O O O O B-treatment I-treatment I-treatment,drug
is an ultrasound-guided breast biopsy considered a clean or sterile procedure?,O O B-treatment I-treatment I-treatment O O O O O B-treatment,treatment
what is erythropoietin to treat anemia?,O O B-drug O O B-disease,drug
is there a vitamin to help prevent boils?,O O O B-drug O O O B-disease,disease
what is a duplex ultrasound for erectile dysfunction?,O O O B-treatment I-treatment O B-disease I-disease,treatment
what is the best application for persons with ichthyosis?,O O O O O O O O B-disease,disease
what is an ectopic or tubal pregnancy?,O O O B-disease O B-disease I-disease,other
can taking an antibiotics cause soreness in both upper arms.,O O O B-drug O B-disease O O O O,drug
is taking a epson salt bath good for treating sciatica,O O O B-treatment I-treatment I-treatment O O O B-disease,disease
can i use benadryl cream with zyrtec,O O O B-drug I-drug O B-drug,drug
why do they say to do a pregnancy test in the morning?,O O O O O O O B-treatment I-treatment O O O,other
is it ok to take a probiotic with antibiotics such as amoxicillan?,O O O O O O B-drug O B-drug O O B-drug,drug
can you take nascourt and claritin together?,O O O B-drug O B-drug O,drug
i suffer from familial mediterranean fever (fmf) can i do a rhinoplasty?,O O O B-disease I-disease I-disease O B-disease O O O B-treatment,treatment
can herbal supplements cause false positive in urine drug screen,O B-drug I-drug O O O O B-treatment I-treatment I-treatment,drug
can chiropractic manipulation of the neck cause vertigo?,O B-treatment I-treatment O O O O B-disease,treatment
will being on viagra reduce the chances of my wife getting pregnant?,O O O B-drug O O O O O O O B-disease,drug
when does benign prostatic hyperplasia bhp start?,O O B-disease I-disease I-disease I-disease O,disease
can a multivitamin cause acne?,O O B-drug O B-disease,drug
is ambien a narcotic,O B-drug O O,drug
does vicks inhaler contain any antihistamine?,O B-drug I-drug O O B-drug,drug
can amoxicillin oral suspension treat rocky mountain spotted fever?,O B-drug I-drug I-drug O B-disease I-disease I-disease I-disease,drug
6yr old has constant snuffle like runny nose but nasal passage is dry,O O O O B-disease O B-disease I-disease O O O O O,disease
can prescribed hydrocortisone valerate be used to clear up poison ivy?,O O B-drug I-drug O O O O O B-disease I-disease,drug
is creatine safe for a 9 year old child?,O B-drug O O O O O O O,disease
does carafate interact with tamiflu?,O B-drug O O B-drug,drug
do doctors give depo depo-provera shots to men who have very bad sexual problems?,O O O O B-drug I-drug O O O O O O B-disease I-disease,drug
is asthma contagious?,O B-disease O,disease
is it possible to be pregnant and still have a period?,O O O O O B-disease O O O O O,other
will quit smoking stress the baby,O O B-disease I-disease O O,disease
do i require surgery?,O O O B-treatment,treatment
is soy infant formula safe?,O B-drug I-drug I-drug O,drug
is beaver safe to eat during pregnancy?,O O O O O O B-disease,other
what is intercavernous injection therapy for erectile dysfunction?,O O B-treatment I-treatment I-treatment O B-disease I-disease,treatment
is there any financial help for people who have been injured by vaccines?,O O O O O O O O O O O O B-drug,other
for what purposes are ultrasounds used?,O O O O B-treatment O,treatment
"how do you treat ""rebound effect"" from otc nasal spray?",O O O O O O O B-drug I-drug I-drug,treatment
what happens after an ultrasound?,O O O O B-treatment,treatment
can infants get strep throat?,O O O B-disease I-disease,disease
are vaginal yeast infections contagious?,O B-disease I-disease I-disease O,disease
how effective are the vaccines for hepatitis a and hepatitis b?,O O O O B-drug O B-disease I-disease O B-disease I-disease,treatment
what type of doctor treats tinnitus? please provide specialty name (ie. oncology),O O O O O B-disease O O O O O O,disease
can tooth paste work for acne?,O O O O O B-disease,disease
can aids cure paralysis or leukemia? how?,O B-disease O B-disease O B-disease O,disease
can anesthesia during surgery cause memory loss or signs of senility?,O B-drug O B-treatment O B-disease I-disease O B-disease I-disease I-disease,treatment
can black mold cause h. pylori,O B-disease I-disease O B-disease I-disease,disease
my fourth toe has been amputated is surgery possible to bring the remaining toes together?,O O O O O B-treatment O B-treatment O O O O O O O,treatment
does using nicotine products decrease cholesterol levels,O O B-drug O O B-treatment I-treatment,treatment
inserting finger into girls vagina leads to pregnency,O O O O O O O B-disease,other
is extra virgin olive oil ok to use on dry skin on my face?,O O B-drug I-drug I-drug O O O O B-disease I-disease O O O,disease
does bad breath have anything to do with ketones,O B-disease I-disease O O O O O B-disease,disease
can suppressing a sneeze be harmful?,O O O B-disease O O,disease
can you have sex taking azo drugs,O O O O O B-drug I-drug,drug
does activated charcoal clean your urine from weed,O B-drug I-drug O O O O O,drug
i am thinking to have varicocele surgery would it help?,O O O O O B-treatment I-treatment O O O,treatment
could my saliva cause my wife to get a yeast infection in her vagina?,O O O O O O O O O B-disease I-disease O O O,disease
what causes pain in big toe joint,O O B-disease O O O O,disease
food poisoning what causes bleeding with the diarrhea and how long will it last?,O O O O B-disease O O B-disease O O O O O O,disease
does eucarine cream contain steroids,O B-drug I-drug O B-drug,drug
can you pass on the flu if you have had the flu shot?,O O O O O B-disease O O O O O B-drug I-drug,drug
can flash from welding damage the retina?,O O O O B-disease I-disease I-disease,disease
what is a penile injection?,O O O B-drug I-drug,drug
i have severe sinus blockages and infection so i am having sinus surgery?,O O O B-disease I-disease O O O O O O B-treatment I-treatment,treatment
where can i get female condoms?,O O O O B-drug I-drug,drug
what type of doctor treats genital warts. male,O O O O O B-disease I-disease O,disease
how early can you start to noticing pregnancy symptoms?,O O O O O O O B-disease O,other
can asthmatics use a medicated vaporizer for a cold?,O B-disease O O B-treatment I-treatment O O B-disease,treatment
is erythema multiforme an autoimmune disorder?,O B-disease I-disease O B-disease I-disease,disease
can i get pregnant from taking folic acid? . just wondering,O O O B-disease O O B-drug I-drug O O O,drug
should i stay away from swimming pools with yeast infection?,O O O O O O O O B-disease I-disease,disease
can zantac cause a false positive drug test,O B-drug O O O O B-treatment I-treatment,drug
what is adenopathy?,O O B-disease,disease
what is the difference between adderall and ritalin?,O O O O O B-drug O B-drug,drug
what are triggers for henoch schonlein purpura,O O O O B-disease I-disease I-disease,disease
is it normal that a ganglion swells after a lice infestation?,O O O O O B-disease I-disease O O B-disease I-disease,disease
what should i do in case of an overdose of zomig nasal spray?,O O O O O O O O O O B-drug I-drug I-drug,drug
if im dehydrated can i lose an erection during intercourse?,O O B-disease O O B-disease I-disease I-disease O O,disease
can a fused finger be reversed or adjusted to regain motion?,O O B-disease I-disease O O O O O O O,disease
can mri be used to diagnose colon disease?,O B-treatment O O O O B-disease I-disease,treatment
can i get strep throat while i am taking bactrim for a staph infection?,O O O B-disease I-disease O O O O B-drug O O B-disease I-disease,disease
can you give bacterial vaginosos to a male sex partner,O O O B-disease I-disease O O O O O,disease
can a blood test detect vitiligo?,O O B-treatment I-treatment O B-disease,treatment
can albuterol register a false positive on a drug test?,O B-drug O O O O O O B-treatment I-treatment,drug
herpes outbreak on my lower back. preferences,B-disease O O O O O O,disease
how do i treat corns under the finger nail?,O O O O B-disease O O O O,disease
why see a renal specialists for high blood pressure?,O O O O O O B-disease I-disease I-disease,disease
can sufameth/trimethoprim show as a benzodiazepine in a drug test?,O B-drug I-drug O O B-drug O O B-treatment I-treatment,drug
what are the chances of becoming pregnant while using a contraceptive and no condom?,O O O O O O B-disease O O O B-drug O O B-drug,drug
can infected tonsils break apart and poison your blood stream?,O B-disease I-disease O O O B-disease I-disease I-disease I-disease,disease
pulmicort flexhaler not covered by medicare advantage plan need cheaper alternative,B-drug I-drug O O O O O O O O O,drug
can you feel the baby after 5 mouth pregnency,O O O O O O O O B-disease,other
can you get pink eye from using someone else's computer keyboard or phone?,O O O B-disease I-disease O O O O O O O O,disease
can sheep's milk yogurt cause acid reflux?,O O O O O B-disease I-disease,disease
who should receive the flu vaccine? when should someone get the flu shot?,O O O O B-drug I-drug O O O O O B-drug I-drug,drug
i had a semen analysis need second doctor opinion and more advice?,O O O B-treatment I-treatment O O O O O O O,treatment
what is an angiotensin ii receptor blocker (arb) for high blood pressure?,O O O B-drug I-drug I-drug I-drug O B-drug I-disease I-disease I-disease,drug
can both the male and female take metronidazole to cure trich,O O O O O O O B-drug O O B-disease,drug
will getting the flu shot or a meningitus shot cause ketones?,O O O B-drug I-drug O O B-drug I-drug O B-disease,drug
cancer soy give you cancercar?,B-disease O O O O,disease
is it possible to get pregnant from swallowing or anal sex?,O O O O O B-disease O O O O O,other
"can sulfamethoxazole antibiotic cause a false ""positive"" reading for cocaine urine test",O B-drug I-drug O O O O O O B-treatment I-treatment I-treatment,drug
can an individual have more than one type of arthritis at a time?,O O O O O O O O O B-disease O O O,disease
i ibuprofen (800 ml) (800ml) and one aspirin along with 500ml hydrocodone. what will happen?,O B-drug I-drug I-drug O O O B-drug O O B-drug I-drug O O O,drug
can rupturing a cyst under the skin cause cancer,O B-disease I-disease I-disease O O O O B-disease,disease
does my dog need a blood test before giving him heartworm meds?,O O O O O B-treatment I-treatment O O O B-drug I-drug,treatment
can having your scalp massaged affect the health of your hair in any way?,O O O B-treatment I-treatment O O O O O O O O O,treatment
should i take a probiotic with doxycycline. i just discovered i have lme disease,O O O O B-drug O B-drug O O O O O B-disease I-disease,drug
how do i take my blood pressure with out a machine?,O O O O O B-treatment I-treatment O O O O,treatment
can hydrocortisone cream 2. 5% usp be used for scalp psoriasis?,O B-drug I-drug O O O O O O B-disease I-disease,drug
is there estrogen in vitamin e,O O B-drug O B-drug I-drug,drug
can i find a medicaid doctor for suboxone,O O O O O O O B-drug,drug
is it possible to have a yeast infection inside your breast?,O O O O O O B-disease I-disease O O O,disease
if i scoliosis and i have a baby will my baby be born with scoliosis?,O O B-disease O O O O O O O O O O O O,disease
i have ms. sometimes i have to have mris or other tests done. . my insurance has always paid the total amount. will such tests be covered under the changes that are coming?,O O B-disease O O O O O B-treatment O O O O O O O O O O O O O O O O O O O O O O O O,treatment
what is apomorphine used for parkinson's disease?,O O B-drug O O B-disease I-disease,treatment
how can you slow the aging process?,O O O O O B-disease I-disease,treatment
is liposuction covered by insurance?,O B-treatment O O O,treatment
is there a test for genital herpes?,O O O O O B-disease I-disease,disease
will they still do arthroscopy surgery if you have a cold?,O O O O B-treatment I-treatment O O O O B-disease,treatment
can i get hearing aids if i'm on medicare?,O O O B-treatment I-treatment O O O O,treatment
with the aca is there a one year waiting period for coverage for a pre-existing condition?,O O B-disease O O O O O O O O O O O O O,other
what should average-risk women in their 40s be doing if mammography and self-exams are no longer recommended?,O O O O O O O O O O B-treatment O B-treatment O O O O,treatment
how can you cool down the main vein in a males testicle that gets too hot and causes infertility?,O O O O O O O O O O O O O O O O O O B-disease,treatment
how to raise hdl level. my raise hdl level is low (20). i do not smoke never have and exercise on a regular basis. what can i do to raise my hdl levels? .,O O B-treatment I-treatment I-treatment O O B-disease I-disease I-disease I-disease O O O O B-disease O O O B-treatment O O O O O O O O O O O O O O,treatment
what are the risks of ultrasound?,O O O O O B-treatment,treatment
do testosterone injections increase your psa level? . i started receiving testosterone injections about 1 1/2 years ago. since that time my psa level has slowly gone up from about 1. 8 to 3. 3.,O B-drug I-drug O O B-disease I-disease O O O O O O O O O O O O O O O O O O O O O O O O O O O O,treatment
should a oral surgeon remove impacted wisdom teeth if the patient has a sinus infection. what are the risks if they do it?,O O O O O O B-disease I-disease O O O O O B-disease I-disease O O O O O O O O,treatment
i forgot my bipolar meds at home and i'm on vacation in the us. will i get a 7 day supply from a pharmacist?,O O O B-disease O O O O O O O O O O O O O O O O O O O O,disease
what is a partial colectomy for colorectal cancer?,O O O O B-treatment O B-disease I-disease,treatment
it is possible to apply garlic to remove warts? and what is the best way to remove warts? . what is the cause of that?,O O O O O O O B-treatment I-treatment O O O O O O O B-treatment I-treatment O O O O O O O,treatment
what is the authorizing identifier for obtaining marinol with medicaid insurance,O O O O O O O B-drug O O O,drug
what is the name of the barium study of the stomach,O O O O O O B-treatment I-treatment O O O,treatment
how can a complex cyst on the thyroid be diagnosed as benign just by ultra sound? . how can a complex cyst on the tyroid be diagnosed as benign by a ultra sound?,O O O B-disease I-disease I-disease I-disease I-disease O O O B-disease O O B-treatment I-treatment O O O O O O O O O O O O O O O O O,treatment
are biopsies done during cancer screening colonoscopy for suspected diverticulitis? . family history of colon cancer. i've had polyps removed previously.,O B-treatment O O B-treatment I-treatment I-treatment O B-disease I-disease O O O O B-disease I-disease O O B-disease O O,treatment
what is an ultrasound as it relates to dentistry?,O O O B-treatment O O O O O,treatment
what about follow-up care after radiation therapy?,O O B-treatment I-treatment O B-treatment I-treatment,treatment
i need a pain management clinic in olympia/tacoma area proscribing medication that accepts medicare,O O O B-treatment I-treatment O O O O O O O O O,treatment
as a teen how much aerobic exercise should i get each day?,O O O O O B-treatment I-treatment O O O O O,treatment
does cold therapy work for arthritis pain?,O B-treatment I-treatment O O B-disease I-disease,treatment
what is episodic therapy for genital herpes?,O O B-treatment I-treatment O B-disease I-disease,treatment
is smoking marijuana before surgery dangerous,O O O O B-treatment O,treatment
how effective is the seasonal flu vaccination?,O O O O O B-treatment I-treatment,treatment
how is osteoarthritis treated? what medications can be used?,O O B-disease O O O O O O,disease
my daughters got their flu shots today. how long does it take until the flu shot is effective?,O O O O B-drug I-drug O O O O O O O O O O O O,drug
testosterone vs human growth hormone? . which is better testosterone injection therapy or human growth hormone therapy? and why? . can a human growth hormone be prescribed instead of testosterone injection therapy?,B-drug O B-drug I-drug I-drug O O O O B-treatment I-treatment I-treatment O B-treatment I-treatment I-treatment I-treatment O O O O O O O O O O O O O O O,treatment
how can exercise help with stress?,O O B-treatment O O B-disease,treatment
how long can an elderly person with 15 of heart function live with extremities turning cold?,O O O O O O O O O O O O O O O B-disease,other
pulmicort flexhaler not covered by medicare advantage plan need cheaper alternative,B-drug I-drug O O O O O O O O O,drug
does the affordable care act cover condoms and other contraceptions for men too (or is it just for women)?,O O O O O O B-drug O O B-drug O O O O O O O O O,drug
back pain exercises,B-disease I-disease I-treatment,treatment
does a prostatectomy make you infertile? does the procedures sever the tubes from the testes? vas deferens?,O O B-treatment O O B-disease O O B-treatment O O O O O O O O,treatment
pulmicort flexhaler for asthma maintenance not covered by medicare advantage plan need cheaper alternative,B-drug I-drug O B-disease O O O O O O O O O O,drug
can acupuncture help dementia,O B-treatment O B-disease,treatment
do you have to get a shingles shot every year?,O O O O O O B-drug I-drug O O,treatment
can exercise cure erectile dysfunction?,O B-treatment O B-disease I-disease,treatment
does prostate massage help prevent prostate cancer?,O B-treatment I-treatment O O B-disease I-disease,treatment
how many calories does 100 times skipping burn,O O O O O O B-treatment O,treatment
is there a laser procedure that raises eyebrows?,O O O B-treatment I-treatment O O O,treatment
what are arbs to treat high blood pressure?,O O B-treatment O O B-disease I-disease I-disease,treatment
is there a herpes test that determines how long your body has been fighting the virus by determing anti antibody levels?,O O O B-treatment I-treatment O O O O O O O O O O O O O O B-treatment I-treatment,treatment
how exactly does the birth control pill work? how long does it take to become an effective use of contraception?,O O O O B-drug I-drug I-drug O O O O O O O O O O O O B-drug,drug
will the affordable care act require an insurance company to cover a dependent's pregnancy?,O O O O O O O O O O O O O B-disease,other
how can i use duct tape to get rid of warts?,O O O O O O O O O O B-disease,treatment
what facial exercises can be done to aid recovery from facial paralysis of bell's palsy?,O B-treatment I-treatment O O O O O O O B-disease I-disease I-disease I-disease I-disease,treatment
is prenatal ultrasound safe?,O O B-treatment O,treatment
how can i ease symptoms of an inguinal hernia untill surgery?,O O O O O O O B-disease I-disease O B-treatment,treatment
i still don't understand the procedure of getting health insurance. is there an easier method?,O O O O O O O O O O O O O O O,other
at what age do children begin to get their adult teeth?,O O O O O O O O O O O,other
what level of the spine does the sciatic nerve originate?,O O O O O O O O O O,other
what are some slang terms for condoms?,O O O O O O O,other
do you charge for your service on webmd?,O O O O O O O O,other
can the blood be to thick to start a period?,O O O O O O O O O O,other
if a person never has fluoride what will happen to their teeth?,O O O O O O O O O O O O,other
"does ""take with meals"" mean before or after eating to take medication?",O O O O O O O O O O O O,other
is smoking marijuana before surgery dangerous,O O O O O O,other
how does one go about getting a health insurance plan from the marketplaces?,O O O O O O O O O O O O O,other
do vegetarians have more or fewer cavities because they don’t eat meat?,O O O O O O O O O O O O,disease
what happens if you eat fish sticks that arent cooked all the way,O O O O O O O O O O O O O,other
can seniors over 65 enroll in a marketplace health insurance plan?,O O O O O O O O O O O,other
can a human get a horse pregnet,O O O O O O O,other
why do men feel hungry after sex?,O O O O O O O,other
what does no acute pathology mean,O O O O O O,other
when you don't eat those your body creates fat?,O O O O O O O O O,other
is a whirlpool sauna or hot tub covered by medicare?,O O O O O O O O O O,other
do bi-lingual doctors meet the requirements for language interpreters?,O O O O O O O O O,other
where can you buy insurance if you live in one state but work in another?,O O O O O O O O O O O O O O O,other
i need to buy health insurance asap. what do i do? where do i go?,O O O O O O O O O O O O O O O,other
what is the advantages and disadvantages of a baby girl having o- blood group?,O O O O O O O O O O O O O O,other
what is a good morning routine for skin care?,O O O O O O O O O,other
i am fully insured with my wife's company. am i good to go?,O O O O O O O O O O O O O,other
how does information travel from the brain to the fingers?,O O O O O O O O O O,other
what are some inherited (genetic) diseases a dermatologist might treat?,O O O O O O O O O O,other
if you cut you clitoris a lilttle bit does it heal itself,O O O O O O O O O O O O,other
does testicle size affect amount of ejaculate?,O O O O O O O,other
are unemployment and social security payments included when calculating annual income for health insurance purposes?,O O O O O O O O O O O O O O O,other
how can i get rid of the fat pad in my groin area?,O O O O O O O O O O O O O,treatment plan
is there an enrollment ending date for the new health insurance marketplaces?,O O O O O O O O O O O O,other
how do i sign up for obamacare?,O O O O O O O,other
how do i get in touch with a health insurance navigator? i live in florida.,O O O O O O O O O O O O O O O,other
astrological remedies is it possible to solve the problems?,O O O O O O O O O,disease
i am on medicaid. does this change wih obomacare,O O O O O O O O O,other
how do i do a sperm count without ejaculation,O O O O O O O O O,other
through health care reform can i just insure my kids (not parents)?,O O O O O O O O O O O O,other
how effective is the female condom at preventing pregnancy?,O O O O O O O O O,other
is penis size in proportion to height?,O O O O O O O,other
can you tell me if minnesota has a state health exchange?,O O O O O O O O O O O,other
can marijuana show up in a test after not smoking for 90 days,O O O O O O O O O O O O O,other
im not pregnant and i am forming brest milk,O O O O O O O O O,other
what is the affordable care act all about and how can i get registered?,O O O O O O O O O O O O O O,other
where is l/4 and l/5 located,O O O O O O,other
what makes people crave sugar and carbs late at night?,O O O O O O O O O O,other
are diet pills bad for you?,O O O O O O,drug
what is yellow snow?,O O O O,other
can you release air from your bloated belly out your vagina and buthole?,O O O O O O O O O O O O O,other
is cat nip safe for cats?,O O O O O O,other
lower half of my body is ice cold. top half hot. what could cause this?,O O O O O O O O O O O O O O O,disease
how often should i replace my running shoes?,O O O O O O O O,other
is coconut oil a good sunscreen?,O O O O O O,other
who can we add as dependents? can we add our parents?,O O O O O O O O O O O,other
what is the difference between a neurologist and a neurosurgeon,O O O O O O O O O O,other
will your vagina be loose after your menses?,O O O O O O O O,other
what good benefits if my wife always eats my sperms?,O O O O O O O O O O,other
are there any proven across-the-counter drugs to be treated?,O O O O O O O O O,other
if you can't get an erection are you still able to reach an orgasm?,O O O O O O O O O O O O O O,other
what are the penalties for denying coverage based on pre-existing conditions?,O O O O O O O O O O O,other
will the affordable care act require an insurance company to cover a dependent's pregnancy?,O O O O O O O O O O O O O O,other
is it safe to cook with cast iron pans,O O O O O O O O O,other
are bananas bad for the heart?,O O O O O O,other
who are the 3 health insurance companies for illinois?,O O O O O O O O O,other
do all women get early symptoms of pregnancy?,O O O O O O O O,other
why doesn't my 11-month-old have teeth yet?,O O O O O O O,other
how can i find a good orthodontist or oral surgeon for my daughter?,O O O O O O O O O O O O O,other
are the tax credits for health insurance calculated on gross income or adjusted gross income?,O O O O O O O O O O O O O O O,other
can the eggs of a 62 year old woman be be used ad doners?,O O O O O O O O O O O O O O,other
how do i get my questions public,O O O O O O O,other
can you donate organs if you have a tattoo?,O O O O O O O O O,other
"what does ""half-life"" mean for a drug?",O O O O O O O,other
what does the platinum health insurance plan cover?,O O O O O O O O,other
should i being seeing my dermatologist annually?,O O O O O O O,other
what can i do to stay satiated longer?,O O O O O O O O,other
what is nutritionval value of radishes?,O O O O O O,other
is there a particular website or link to go to for health insurance enrollment?,O O O O O O O O O O O O O O,other
i am 19 and i haven't seen a regular period should i be worried?,O O O O O O O O O O O O O O,other
can a child under 18 get birth control with out parents permission,O O O O O O O O O O O O,other
can a nursing mother drink a beer?,O O O O O O O,other
do gay bottoms get bigger butts over time due to anal sex?,O O O O O O O O O O O O,other
does a discounted medical (not insurance) count as having insurance?,O O O O O O O O O O,other
"what does the term ""resolving mono"" mean?",O O O O O O O,other
is it safe to have my teeth cleaned during menstruation?,O O O O O O O O O O,other
do womens sex drives decrease with age while men's stay the same,O O O O O O O O O O O O,other
is wearing a bra to bed every day bad for your breasts?,O O O O O O O O O O O O,other
what does it mean for a male to have very watery ejaculation,O O O O O O O O O O O O,other
can you pass smelly gas and not know it?,O O O O O O O O O,other
when can i start buying insurance through the marketplace?,O O O O O O O O O,other
is it safe to eat kale or spinach everyday?,O O O O O O O O O,other
can use of vibrator during pregnancy affect unborn baby's brain?,O O O O O O O O O O,other
"what is the age of ""children"" guaranteed dental insurance under the law?",O O O O O O O O O O O O,other
are lymph nodes and salivary glands the same thing?,O O O O O O O O O,other
can mixing vodka and crystal light drink mix be dangerous?,O O O O O O O O O O,other
is milk creme good nutrient for hair growth,O O O O O O O O,other
what shoud you do when you don't have soap and water to wash your hands?,O O O O O O O O O O O O O O O,other
what is normal weight range for at 6 year old girl,O O O O O O O O O O O,other
if you could do only one thing daily for your skin what would that be?,O O O O O O O O O O O O O O O,other
is the government health insurance website up and running now?,O O O O O O O O O O,other
can you live without your ears?,O O O O O O,other
how do i get a paper application form to buy health insurance in the marketplace?,O O O O O O O O O O O O O O O,other
is it ok to drink sodas while taking/on birth control?,O O O O O O O O O O,other
what kind of doctor for my coccyx,O O O O O O O,other
does adding cream to coffee effect the strength of the caffine?,O O O O O O O O O O O,other
is there a condition that causes the thyroid to be short?,O O O O O O O O O O O,disease
what makes guys have more body hair then others,O O O O O O O O O,other
does keeping birth control in your checked luggage on a plane affect its effectivness?,O O O O O O O O O O O O O O,other
can a foreigner living in singapore purchase any insurance plans from this platform?,O O O O O O O O O O O O O,other
i have accident only insurance. does this qualify as health insurance under the new law?,O O O O O O O O O O O O O O O,other
